Aoife of Shadows,200,BOTTOM,False,1858,Nami,0,6,10,11,0,6714,6909,6183,725,0,10931,8482,8479,0,0,0,492,0,663,26,89,44,17,3,2,False,False,False,False,0,0,0,0,0,0.4,0.7,,,273.29999999999995,316.7,344.4,,,126.30000000000001,265.6,215.89999999999998,,
Dempsy,100,TOP,True,1601,875,1,1,6,176,4,9249,11221,423,8608,2189,17016,1754,15039,4,0,1,4734,0,7623,18,153,13,7,2,3,False,False,False,False,0,0,0,0,6.9,7.6000000000000005,,,,404,551.9,,,,222.7,356.79999999999995,,,
phortwenty,100,JUNGLE,True,1601,Trundle,6,1,8,18,89,9640,7947,2915,4122,910,29624,15160,21172,71,0,1,3573,0,16230,22,269,20,9,1,4,True,False,False,True,0,0,0,0,0.4,0.6,,,,252.7,318,,,,290.6,288.9,,,
BasicallyCancer,100,MIDDLE,True,1601,Azir,7,0,6,176,16,11067,24034,22291,811,931,10280,2432,5874,0,12,3,8174,1,17331,12,141,26,12,3,4,False,False,False,True,1,0,0,0,7.5,7.9,,,,434.7,486.29999999999995,,,,265.6,403.8,,,
TES Major,100,BOTTOM,True,1601,Jinx,3,1,9,143,8,9197,13271,400,12871,0,12968,1881,5750,0,0,2,5466,0,14988,14,58,15,9,0,1,False,False,True,False,1,0,0,0,5.5,5.6,,,,291.79999999999995,403.1,,,,220.1,302.5,,,
Aoife of Shadows,100,BOTTOM,True,1601,Soraka,0,0,13,9,0,6611,6074,5016,1057,0,4189,18995,1756,0,0,1,890,0,1678,34,134,44,14,7,1,False,False,False,True,0,0,0,0,0,0.8,,,,261.7,284.3,,,,165.4,217,,,
Łisk,200,TOP,False,1601,Ornn,0,5,3,122,0,6494,11634,7957,3676,0,17468,0,19702,0,0,0,742,0,742,20,262,10,5,1,0,False,False,False,False,0,0,0,0,4.4,5.6,,,,428.4,465,,,,197.8,271.20000000000005,,,
Yodigi7,200,JUNGLE,False,1601,Warwick,0,6,2,19,118,6993,5649,3326,1344,978,27164,10699,15686,78,10,0,0,0,10692,19,214,20,3,4,4,False,False,False,False,0,0,0,0,0.4,1.3,,,,286.9,378.2,,,,228.10000000000002,289,,,
Endowed,200,MIDDLE,False,1601,Kassadin,3,3,0,182,7,9068,12284,11196,733,354,20332,4372,11661,7,0,0,1327,0,1570,12,135,13,8,1,1,False,False,False,False,0,0,0,0,6.8999999999999995,8.3,,,,437.29999999999995,512.7,,,,245.7,411.79999999999995,,,
Buzz  Łightyear,200,BOTTOM,False,1601,Senna,0,3,2,60,0,6106,11917,0,11917,0,9932,7096,4134,0,0,0,2085,0,2085,51,164,26,16,1,3,False,False,False,False,0,0,0,0,1.1,3.5999999999999996,,,,261.3,401.8,,,,172.2,243.10000000000002,,,
Alex123Gaming,200,BOTTOM,False,1601,TahmKench,0,0,1,109,0,6125,2667,2098,209,360,8663,2332,8477,0,0,1,1149,0,1149,7,62,27,15,5,7,False,False,False,False,0,0,0,0,5,4.1,,,,267.2,283.9,,,,209.3,220.9,,,
Noxian Exile,100,TOP,True,1903,Garen,10,0,9,218,24,15487,20481,213,15982,4285,16071,3665,31581,0,9,7,15760,1,28304,33,101,21,11,3,2,False,False,False,True,2,0,0,0,7.1,7.5,6.6,,,501,509.3,596.4,,,311,567,515.7,,
whathead,100,JUNGLE,True,1903,JarvanIV,6,4,17,37,92,11358,10845,1580,8880,384,22687,4888,23503,56,4,2,2747,0,25278,26,311,20,5,6,0,True,False,True,False,1,0,0,0,0.1,0.6,2.2,,,253.5,345.5,365.4,,,308.7,371.20000000000005,308.8,,
Candle King,100,MIDDLE,True,1903,Zoe,6,2,13,139,4,10883,16628,12682,1732,2213,9841,1613,5286,4,0,0,3003,1,9908,27,117,37,16,6,6,False,False,False,False,0,0,0,0,6.3,4.7,2.6,,,482.1,365.6,335.6,,,318.5,352.6,299.2,,
Bowling Pin,100,BOTTOM,True,1903,Twitch,4,1,9,155,32,11557,10188,678,7854,1656,9127,2116,5918,16,8,1,3788,1,15214,15,458,26,7,4,2,False,False,False,False,1,0,0,0,4.800000000000001,4.5,5.4,,,315.1,348.7,362.5,,,190.5,343.7,428.5,,
Poptartism,100,BOTTOM,True,1903,Nami,1,0,17,16,0,7906,4895,3531,754,610,3583,10595,3504,0,0,1,2209,0,3242,15,87,70,30,13,9,False,False,False,False,0,0,0,0,0,0.5,0.8999999999999999,,,266.7,280.9,403.7,,,132.3,265.8,283.2,,
LastOfADyingBrEd,200,TOP,False,1903,875,1,7,2,149,4,8250,6077,0,4552,1524,19374,210,16175,4,0,0,1278,0,1293,18,89,20,6,5,3,False,False,False,False,0,0,0,0,4.5,5.6,4.5,,,363,423.9,359.9,,,204,296.7,249,,
N1zero,200,JUNGLE,False,1903,Vi,1,8,4,70,126,10126,6268,0,5620,647,20699,5647,20842,104,0,0,0,0,8431,16,249,23,5,5,4,False,False,False,False,0,0,0,0,0.1,0.5,5.2,,,287.5,354.6,523.5999999999999,,,238.5,352.29999999999995,321.9,,
xDanceGavinDance,200,MIDDLE,False,1903,Galio,4,5,3,149,4,9447,13125,12415,51,658,20057,225,20180,4,0,0,0,0,260,35,76,12,11,0,3,False,False,False,False,0,0,0,0,5.4,3.4,5.4,,,426,293.9,414.8,,,204.5,321.5,328.8,,
