Dempsy,JUNGLE,Jax,100,True,2164,10,5,11,4.2,185,6,191,5.29575,15327,424.963,24298,673.697,6377,17475,445,38557,6577,29151,0,2,5,11142,1,17742,29,196,26,13,0.360444,2,0.0554529,2,False,False,False,False,1,0,0,0,6,5.9,5.1,,,422.1,460.90000000000003,548.5,,,299.7,436.9,443.9,,
phortwenty,JUNGLE,JarvanIV,100,True,2164,3,3,18,7,29,116,145,4.02033,11648,322.957,10302,285.638,2089,7776,437,30727,10351,29325,77,4,2,965,0,33811,20,411,36,7,0.194085,5,0.138632,6,False,False,True,False,0,0,0,0,1,0.2,1,,,295.2,279,516.3,,,270.2,281.9,325.3,,
BasicallyCancer,MIDDLE,Veigar,100,True,2164,11,4,14,6.25,210,31,241,6.68207,16118,446.895,35405,981.654,33651,635,1118,16017,2447,7501,17,13,1,7867,0,24283,47,326,44,19,0.526802,2,0.0554529,4,False,False,False,True,2,0,0,0,6.800000000000001,7.8999999999999995,4.6,,,442.7,467,493.70000000000005,,,266.1,418.7,546.0999999999999,,
TES Major,BOTTOM,Heimerdinger,100,True,2164,8,2,14,11,173,0,173,4.79667,12995,360.305,34108,945.693,32014,816,1277,19222,1607,9219,0,0,1,3131,0,19186,37,558,18,11,0.304991,1,0.0277264,1,False,False,False,False,0,0,0,0,6.6,4.8,3.6,,,344.3,360.29999999999995,425.4,,,257,343.6,385.79999999999995,,
Aoife of Shadows,BOTTOM,Soraka,100,True,2164,0,3,19,6.33333,15,0,15,0.415896,8798,243.937,6623,183.632,5883,583,156,11394,30132,4434,0,0,0,661,1,1446,45,142,69,21,0.582255,11,0.304991,3,False,False,False,False,0,0,0,0,0.3,0.9,0.3,,,290.7,309.79999999999995,433.1,,,165.7,259.6,246.4,,
Łisk,TOP,Aatrox,200,False,2164,4,8,3,0.875,192,8,200,5.54529,10979,304.409,17971,498.272,46,17924,0,36809,11918,33121,4,4,0,982,0,982,20,141,26,9,0.249538,3,0.0831793,2,False,False,False,False,0,0,0,0,6.2,5.1,5.6,,,461.8,381.8,373.3,,,246.1,295.4,322.2,,
Yodigi7,JUNGLE,Nunu,200,False,2164,3,6,9,2,49,156,205,5.68392,12164,337.264,9221,255.665,8698,276,246,38083,18995,37471,113,0,0,0,0,12745,27,530,34,9,0.249538,3,0.0831793,4,True,False,False,False,0,0,0,0,0,1,2.2,,,313.70000000000005,475,377.2,,,305.4,319.4,277.5,,
Endowed,MIDDLE,TwistedFate,200,False,2164,6,5,5,2.2,232,20,252,6.98706,14689,407.274,32261,894.482,28498,2223,1539,25125,7395,14906,20,0,1,2203,0,3364,27,249,27,11,0.304991,3,0.0831793,1,False,False,False,False,0,0,0,0,7.3,4.8,6.3,,,537,390.9,362.5,,,355,338.70000000000005,360.4,,
Buzz  Łightyear,BOTTOM,Cassiopeia,200,False,2164,3,7,5,1.14286,189,8,197,5.46211,11338,314.362,18165,503.651,17686,478,0,23470,5140,13459,8,0,0,287,0,1697,32,978,18,12,0.332717,3,0.0831793,0,False,False,False,False,0,0,0,0,5.9,5,4.4,,,297.9,322.3,296.70000000000005,,,237.8,346.6,273.1,,
Alex123Gaming,BOTTOM,Leona,200,False,2164,1,6,8,1.5,32,0,32,0.887246,7237,200.656,3537,98.0684,2621,916,0,16396,91,21379,0,0,0,182,0,1068,26,132,74,32,0.887246,12,0.332717,9,False,False,False,False,0,0,0,0,1.1,1.1,0.8999999999999999,,,233.5,303.5,251.70000000000002,,,156.5,253,171,,
Łisk,TOP,Mordekaiser,100,True,1858,8,4,8,4,211,14,225,7.26588,15125,488.428,22412,723.746,19388,3024,0,25423,5292,31193,0,11,1,3578,0,9321,15,388,21,13,0.419806,1,0.0322928,3,False,False,False,False,0,0,0,0,4.7,8.3,7.9,,,431.5,672.2,697.7,,,206.5,590.3,618.4,,
Yodigi7,JUNGLE,Sejuani,100,True,1858,5,3,9,4.66667,66,120,186,6.00646,11861,383.025,13301,429.526,5696,6671,934,30749,8616,29657,84,0,1,466,0,28508,30,348,39,10,0.322928,5,0.161464,4,False,False,False,False,0,0,0,0,0.4,1.8,3.7,,,265.9,514.3,587.9,,,220.1,379.2,407.9,,
Endowed,MIDDLE,Camille,100,True,1858,5,4,9,3.5,157,22,179,5.78041,11806,381.249,17265,557.535,257,13054,3954,23789,2749,24108,9,4,1,4972,1,10871,20,169,24,10,0.322928,4,0.129171,0,False,False,False,False,1,0,0,0,6,5.2,3.6999999999999997,,,443.5,439.9,563.6,,,225.9,407.5,432.9,,
Buzz  Łightyear,BOTTOM,Ezreal,100,True,1858,8,3,7,5,107,20,127,4.10118,11429,369.074,17353,560.377,7432,9920,0,16636,2564,6124,0,0,3,4247,0,19608,0,1,15,9,0.290635,1,0.0322928,1,True,False,False,False,1,0,0,0,5.4,3.8,1.4,,,285.9,409.2,418.7,,,259.20000000000005,370.6,426.9,,
Alex123Gaming,BOTTOM,Senna,100,True,1858,1,5,15,3.2,26,2,28,0.904198,8475,273.681,8760,282.885,0,8760,0,13418,10085,6714,0,0,2,3312,1,10930,19,85,62,24,0.775027,13,0.419806,6,False,False,False,False,0,0,0,0,0.1,0.8,1.7,,,273.9,226.2,507.4,,,166.3,241.3,326.7,,
Dempsy,TOP,Renekton,200,False,1858,5,6,4,1.5,165,8,173,5.58665,11197,361.582,11538,372.594,1825,9568,144,29510,5317,20405,8,0,1,3751,1,3751,22,93,28,9,0.290635,5,0.161464,3,False,False,False,False,1,0,0,0,6.8,7,2.7,,,448.8,444,419.70000000000005,,,249.8,407.29999999999995,400.79999999999995,,
phortwenty,JUNGLE,JarvanIV,200,False,1858,2,4,10,3,28,104,132,4.26265,9294,300.129,9542,308.138,1965,6433,1144,24729,6380,20290,85,8,0,0,0,1272,15,379,28,9,0.290635,6,0.193757,9,False,False,False,False,0,0,0,0,0.1,0.8999999999999999,1.6,,,269.20000000000005,306.1,466.9,,,220.9,348.8,294.4,,
BasicallyCancer,MIDDLE,Yasuo,200,False,1858,7,5,5,2.4,232,12,244,7.87944,13030,420.775,21526,695.135,1973,18760,792,23583,5387,25711,8,4,3,7807,0,7807,30,177,14,10,0.322928,1,0.0322928,1,False,False,False,False,0,0,0,0,8.399999999999999,6.9,7.7,,,475.5,463.6,658.6,,,268.1,393.6,576.7,,
TES Major,BOTTOM,Malzahar,200,False,1858,5,6,5,1.66667,208,0,208,6.7169,11904,384.413,29239,944.209,28966,272,0,13487,96,9178,0,0,2,4404,0,4404,45,530,28,11,0.355221,0,0,1,False,False,False,False,1,0,0,0,6.2,8,6.300000000000001,,,291.6,468.5,499.7,,,218.2,443.3,453.9,,
Aoife of Shadows,BOTTOM,Nami,200,False,1858,0,6,10,1.66667,11,0,11,0.355221,6714,216.814,6909,223.111,6183,725,0,10931,8482,8479,0,0,0,492,0,663,26,89,44,17,0.548977,3,0.0968784,2,False,False,False,False,0,0,0,0,0,0.4,0.7,,,273.29999999999995,316.7,344.4,,,126.30000000000001,265.6,215.89999999999998,,
Dempsy,TOP,875,100,True,1601,1,1,6,7,176,4,180,6.74578,9249,346.621,11221,420.525,423,8608,2189,17016,1754,15039,4,0,1,4734,0,7623,18,153,13,7,0.262336,2,0.0749532,3,False,False,False,False,0,0,0,0,6.9,7.6000000000000005,,,,404,551.9,,,,222.7,356.79999999999995,,,
phortwenty,JUNGLE,Trundle,100,True,1601,6,1,8,14,18,89,107,4.00999,9640,361.274,7947,297.826,2915,4122,910,29624,15160,21172,71,0,1,3573,0,16230,22,269,20,9,0.337289,1,0.0374766,4,True,False,False,True,0,0,0,0,0.4,0.6,,,,252.7,318,,,,290.6,288.9,,,
BasicallyCancer,MIDDLE,Azir,100,True,1601,7,0,6,13,176,16,192,7.1955,11067,414.753,24034,900.712,22291,811,931,10280,2432,5874,0,12,3,8174,1,17331,12,141,26,12,0.449719,3,0.11243,4,False,False,False,True,1,0,0,0,7.5,7.9,,,,434.7,486.29999999999995,,,,265.6,403.8,,,
TES Major,BOTTOM,Jinx,100,True,1601,3,1,9,12,143,8,151,5.65896,9197,344.672,13271,497.352,400,12871,0,12968,1881,5750,0,0,2,5466,0,14988,14,58,15,9,0.337289,0,0,1,False,False,True,False,1,0,0,0,5.5,5.6,,,,291.79999999999995,403.1,,,,220.1,302.5,,,
Aoife of Shadows,BOTTOM,Soraka,100,True,1601,0,0,13,13,9,0,9,0.337289,6611,247.758,6074,227.633,5016,1057,0,4189,18995,1756,0,0,1,890,0,1678,34,134,44,14,0.524672,7,0.262336,1,False,False,False,True,0,0,0,0,0,0.8,,,,261.7,284.3,,,,165.4,217,,,
Łisk,TOP,Ornn,200,False,1601,0,5,3,0.6,122,0,122,4.57214,6494,243.373,11634,436.002,7957,3676,0,17468,0,19702,0,0,0,742,0,742,20,262,10,5,0.187383,1,0.0374766,0,False,False,False,False,0,0,0,0,4.4,5.6,,,,428.4,465,,,,197.8,271.20000000000005,,,
Yodigi7,JUNGLE,Warwick,200,False,1601,0,6,2,0.333333,19,118,137,5.13429,6993,262.074,5649,211.705,3326,1344,978,27164,10699,15686,78,10,0,0,0,10692,19,214,20,3,0.11243,4,0.149906,4,False,False,False,False,0,0,0,0,0.4,1.3,,,,286.9,378.2,,,,228.10000000000002,289,,,
Endowed,MIDDLE,Kassadin,200,False,1601,3,3,0,1,182,7,189,7.08307,9068,339.838,12284,460.362,11196,733,354,20332,4372,11661,7,0,0,1327,0,1570,12,135,13,8,0.299813,1,0.0374766,1,False,False,False,False,0,0,0,0,6.8999999999999995,8.3,,,,437.29999999999995,512.7,,,,245.7,411.79999999999995,,,
Buzz  Łightyear,BOTTOM,Senna,200,False,1601,0,3,2,0.666667,60,0,60,2.24859,6106,228.832,11917,446.608,0,11917,0,9932,7096,4134,0,0,0,2085,0,2085,51,164,26,16,0.599625,1,0.0374766,3,False,False,False,False,0,0,0,0,1.1,3.5999999999999996,,,,261.3,401.8,,,,172.2,243.10000000000002,,,
Alex123Gaming,BOTTOM,TahmKench,200,False,1601,0,0,1,1,109,0,109,4.08495,6125,229.544,2667,99.95,2098,209,360,8663,2332,8477,0,0,1,1149,0,1149,7,62,27,15,0.562149,5,0.187383,7,False,False,False,False,0,0,0,0,5,4.1,,,,267.2,283.9,,,,209.3,220.9,,,
Noxian Exile,TOP,Garen,100,True,1903,10,0,9,19,218,24,242,7.63006,15487,488.292,20481,645.749,213,15982,4285,16071,3665,31581,0,9,7,15760,1,28304,33,101,21,11,0.346821,3,0.0945875,2,False,False,False,True,2,0,0,0,7.1,7.5,6.6,,,501,509.3,596.4,,,311,567,515.7,,
whathead,JUNGLE,JarvanIV,100,True,1903,6,4,17,5.75,37,92,129,4.06726,11358,358.108,10845,341.934,1580,8880,384,22687,4888,23503,56,4,2,2747,0,25278,26,311,20,5,0.157646,6,0.189175,0,True,False,True,False,1,0,0,0,0.1,0.6,2.2,,,253.5,345.5,365.4,,,308.7,371.20000000000005,308.8,,
Candle King,MIDDLE,Zoe,100,True,1903,6,2,13,9.5,139,4,143,4.50867,10883,343.132,16628,524.267,12682,1732,2213,9841,1613,5286,4,0,0,3003,1,9908,27,117,37,16,0.504467,6,0.189175,6,False,False,False,False,0,0,0,0,6.3,4.7,2.6,,,482.1,365.6,335.6,,,318.5,352.6,299.2,,
Bowling Pin,BOTTOM,Twitch,100,True,1903,4,1,9,13,155,32,187,5.89595,11557,364.383,10188,321.219,678,7854,1656,9127,2116,5918,16,8,1,3788,1,15214,15,458,26,7,0.220704,4,0.126117,2,False,False,False,False,1,0,0,0,4.800000000000001,4.5,5.4,,,315.1,348.7,362.5,,,190.5,343.7,428.5,,
Poptartism,BOTTOM,Nami,100,True,1903,1,0,17,18,16,0,16,0.504467,7906,249.27,4895,154.335,3531,754,610,3583,10595,3504,0,0,1,2209,0,3242,15,87,70,30,0.945875,13,0.409879,9,False,False,False,False,0,0,0,0,0,0.5,0.8999999999999999,,,266.7,280.9,403.7,,,132.3,265.8,283.2,,
LastOfADyingBrEd,TOP,875,200,False,1903,1,7,2,0.428571,149,4,153,4.82396,8250,260.116,6077,191.603,0,4552,1524,19374,210,16175,4,0,0,1278,0,1293,18,89,20,6,0.189175,5,0.157646,3,False,False,False,False,0,0,0,0,4.5,5.6,4.5,,,363,423.9,359.9,,,204,296.7,249,,
N1zero,JUNGLE,Vi,200,False,1903,1,8,4,0.625,70,126,196,6.17972,10126,319.264,6268,197.625,0,5620,647,20699,5647,20842,104,0,0,0,0,8431,16,249,23,5,0.157646,5,0.157646,4,False,False,False,False,0,0,0,0,0.1,0.5,5.2,,,287.5,354.6,523.5999999999999,,,238.5,352.29999999999995,321.9,,
xDanceGavinDance,MIDDLE,Galio,200,False,1903,4,5,3,1.4,149,4,153,4.82396,9447,297.856,13125,413.82,12415,51,658,20057,225,20180,4,0,0,0,0,260,35,76,12,11,0.346821,0,0,3,False,False,False,False,0,0,0,0,5.4,3.4,5.4,,,426,293.9,414.8,,,204.5,321.5,328.8,,
Muddey,BOTTOM,Kaisa,200,False,1903,1,2,1,1,228,8,236,7.44088,10135,319.548,8014,252.675,2242,5286,485,9269,875,3858,4,0,0,150,0,353,0,0,27,6,0.189175,8,0.252233,4,False,False,False,False,0,0,0,0,8.3,7.4,6.699999999999999,,,317.7,373.1,372.6,,,287.6,285.9,354.3,,
Mxn Potato,BOTTOM,Nautilus,200,False,1903,0,5,3,0.6,31,0,31,0.977404,5919,186.621,4373,137.877,3119,914,339,16519,873,22771,0,0,0,0,0,273,36,296,63,38,1.19811,6,0.189175,7,False,False,False,False,0,0,0,0,1.1,1.2,0.7,,,290.6,205.10000000000002,287.9,,,156.1,185.8,173.6,,
N1zero,TOP,Maokai,100,False,1961,3,4,9,3,127,9,136,4.16114,8852,270.841,14842,454.115,11904,2937,0,30745,11076,31217,9,0,1,850,0,3341,73,470,23,12,0.36716,5,0.152983,4,False,False,False,False,0,0,0,0,5.6,3.7,3.0999999999999996,,,440.20000000000005,409,435.7,,,215.2,303.8,245.2,,
LastOfADyingBrEd,JUNGLE,Kayn,100,False,1961,3,9,7,1.11111,16,120,136,4.16114,10033,306.976,14379,439.949,309,13262,808,32189,14295,22623,92,0,0,1371,0,16382,19,269,18,5,0.152983,4,0.122387,4,False,False,False,False,1,0,0,0,0,0.7,0.8,,,263.3,323.1,456.59999999999997,,,231.2,264,383.5,,
xDanceGavinDance,MIDDLE,Ryze,100,False,1961,6,5,11,3.4,163,10,173,5.29322,11823,361.744,18189,556.522,17361,828,0,25988,8679,14255,8,0,2,2978,0,10895,17,82,19,12,0.36716,1,0.0305966,2,False,False,False,False,0,0,0,0,6.2,4.5,4.3,,,414.7,414,477.2,,,225.9,352.1,427.20000000000005,,
Muddey,BOTTOM,MissFortune,100,False,1961,9,5,6,3,225,14,239,7.3126,14617,447.231,23472,718.164,1507,21799,166,18364,2959,11773,10,4,1,4271,0,11606,8,177,28,11,0.336563,8,0.244773,6,False,False,False,False,1,1,1,0,7.5,5.800000000000001,7.9,,,307.9,345.5,526.3,,,253.7,408.9,625.3,,
Mxn Potato,BOTTOM,Nami,100,False,1961,0,7,19,2.71429,10,1,11,0.336563,7197,220.204,6636,203.039,5750,886,0,14883,9132,10017,1,0,0,972,0,1318,33,157,69,40,1.22387,7,0.214176,7,False,False,False,False,0,0,0,0,0.1,0.3,0.6,,,250.60000000000002,298.4,501.5,,,130.9,241.70000000000002,234.60000000000002,,
Noxian Exile,TOP,Mordekaiser,200,True,1961,3,3,6,3,175,21,196,5.99694,11630,355.839,20815,636.869,17928,2626,260,26475,9409,23640,5,9,2,3142,1,12385,16,214,32,9,0.27537,8,0.244773,4,False,False,False,False,0,0,0,0,6.8,6.300000000000001,3.1,,,429.8,550.4000000000001,359.6,,,241.1,409.4,327.4,,
whathead,JUNGLE,Vi,200,True,1961,4,6,4,1.33333,40,89,129,3.94697,9875,302.142,7752,237.185,88,7090,574,27609,6944,24737,57,1,2,2220,0,30494,16,139,28,4,0.122387,8,0.244773,2,False,False,True,False,0,0,0,0,0.2,0.6,1.7,,,273.9,203.2,446.3,,,251.7,248.10000000000002,343,,
Candle King,MIDDLE,Qiyana,200,True,1961,5,6,12,2.83333,139,1,140,4.28353,11107,339.837,17883,547.16,934,16353,596,21339,3391,11353,0,1,0,1321,0,3081,30,156,39,28,0.856706,4,0.122387,12,False,False,False,False,1,0,0,0,6.2,4.6,1.7000000000000002,,,511.3,319.7,379.8,,,331.20000000000005,282.5,269.8,,
Bowling Pin,BOTTOM,Draven,200,True,1961,16,3,7,7.66667,168,52,220,6.73126,18145,555.176,42105,1288.27,2155,38942,1008,20189,2774,22735,24,8,3,8244,0,33527,11,93,23,11,0.336563,4,0.122387,2,True,False,False,True,3,2,1,1,7.4,5.199999999999999,2.9,,,311.3,433.6,576.1,,,308.2,674.5999999999999,580.4,,
